episode,reward,epsilon,loss,steps,termination_cause
0,-375.75886161887894,0.9980702958640594,319.87774658203125,123,unknown
1,-155.11273010327105,0.9968386052517971,314.5081481933594,78,unknown
2,-213.3937039863395,0.9950255693062114,1.9524487257003784,115,unknown
3,-275.62689519201285,0.9936405477353255,297.1950988769531,88,unknown
4,-96.75085399556141,0.9926345344535431,24.875415802001953,64,unknown
5,-392.35967013351456,0.9907511493974871,17.80286979675293,120,unknown
6,-140.01643172671248,0.9894037053156302,53.78040313720703,86,unknown
7,-352.8587112090019,0.987589279328967,124.41049194335938,116,unknown
8,-124.83212513286101,0.9865272800589872,34.09700393676758,68,unknown
9,-163.33302065660007,0.984718409788897,308.9848327636719,116,unknown
10,-232.8524878092893,0.9835974204252873,3.898564577102661,72,unknown
11,-71.85152751348542,0.9819805865573763,1.1396658420562744,104,unknown
12,-234.3366887724252,0.9807697989772979,33.751522064208984,78,unknown
13,-118.94909411234602,0.9795450918510997,4.362396717071533,79,unknown
14,-144.3071906398984,0.9784148330362181,3.4736154079437256,73,unknown
15,-231.58600796979016,0.9766061881137111,4.261791229248047,117,unknown
16,-122.31698181940834,0.9754640782608864,64.13199615478516,74,unknown
17,-131.82755443467468,0.974061521616502,1.3834680318832397,91,unknown
18,-291.34496075080915,0.9721537664978034,2.8998799324035645,124,unknown
19,-277.8213850084389,0.9706488113937657,1.7970482110977173,98,unknown
20,-339.2142979965005,0.9693301600233414,1.1497348546981812,86,unknown
21,-127.06304862717508,0.9680746002992132,74.730224609375,82,unknown
22,-82.98606907069063,0.9668054751161019,99.2790756225586,83,unknown
23,-386.0053605440756,0.9655381043424144,22.230403900146484,83,unknown
24,-448.38554063029824,0.9640744146394826,15.441246032714844,96,unknown
25,-180.56173382239353,0.9624001467604827,57.40805435180664,110,unknown
26,-246.16982022351874,0.9609870219876223,100.63356018066406,93,unknown
27,-148.7108962734221,0.9595154494770315,240.0904083251953,97,unknown
28,-213.40776146592984,0.9585609594500385,122.625,63,unknown
29,-257.29827018342263,0.9571689001637418,1.2075045108795166,92,unknown
30,-125.22320839381527,0.9556733056832311,81.38993072509766,99,unknown
31,-114.651543813772,0.9541500380619412,7.592822074890137,101,unknown
32,-46.96743864432633,0.9520277801022788,4.707446575164795,141,unknown
33,-260.09592232746553,0.9510360950709285,146.76866149902344,66,unknown
34,-130.6697570570991,0.9499105035933247,5.928455352783203,75,unknown
35,-104.38541947559204,0.9485466738285454,2.7296676635742188,91,unknown
36,-108.40803005276324,0.9469456935585887,208.08914184570312,107,unknown
37,-89.08440784622317,0.9459595957489012,17.26299285888672,66,unknown
38,-127.34454623841145,0.9448105184166837,0.9227707982063293,77,unknown
39,-88.41976253398343,0.9431268778661657,16.482765197753906,113,unknown
40,-143.2672303351943,0.942055768406935,205.80856323242188,72,unknown
41,-152.9602878349715,0.9407186878154707,3.9421634674072266,90,unknown
42,-100.17763872760614,0.939428081633745,1.9659284353256226,87,unknown
43,-284.06592565380697,0.938020934789713,310.6138000488281,95,unknown
44,-170.90394218837054,0.9365273569968109,180.85581970214844,101,unknown
45,-259.0311607598808,0.9355674723914366,204.23809814453125,65,unknown
46,-140.9235889867172,0.93450542877818,13.899908065795898,72,unknown
47,-247.49916587371456,0.9330177637757358,75.15769958496094,101,unknown
